66194 - 83965, mundloch-d-goldkrone-flacher - mundloch-d-goldkrone-flacher
66195 - 84726, mundloch-d-hl-dreifaltigkeit-fundgrube - mundloch-d-hl-dreifaltigkeit-fundgrube
66196 - 83998, mundloch-d-insler-stollns - mundloch-d-insler-stollns
66197 - 84016, mundloch-d-junge-drei-bruder-stollns - mundloch-d-junge-drei-bruder-stollns
66198 - 83882, mundloch-d-milde-hand-gottes-stollens - mundloch-d-milde-hand-gottes-stollens
66199 - 84002, mundloch-d-neugeboren-kindlein-stollns - mundloch-d-neugeboren-kindlein-stollns
66200 - 83946, mundloch-d-neuglucker-stolln - mundloch-d-neuglucker-stolln
66201 - 83883, mundloch-d-tiefen-ullrich-stollens - mundloch-d-tiefen-ullrich-stollens
66202 - 83945, mundloch-d-tiefer-hilfe-gottes-stolln - mundloch-d-tiefer-hilfe-gottes-stolln
66203 - 83964, mundloch-d-walfisch-stollens - mundloch-d-walfisch-stollens
66204 - 83941, mundloch-d-wolfgang-stollns - mundloch-d-wolfgang-stollns
66207 - 81242, mundloch-und-abzugsrosche-thelersberger-stollen - mundloch-und-abzugsrosche-thelersberger-stollen
66245 - 83936, neubeschert-gluck-tageschacht - neubeschert-gluck-tageschacht
66247 - 79915, neue-aufbereitung-grube-himmelfahrt - neue-aufbereitung-grube-himmelfahrt
66290 - 81218, oberer-rother-adler-stollen - oberer-rother-adler-stollen
66295 - 84068, oberhohndorf - oberhohndorf
66297 - 81224, oberpfannenstiel-wolframitgebiet - oberpfannenstiel-wolframitgebiet
66319 - 84040, ortsmitte-gebirge - ortsmitte-gebirge
66320 - 83940, ortsmitte-gehringswalde - ortsmitte-gehringswalde
66321 - 84042, ortsmitte-gelobtland - ortsmitte-gelobtland
66322 - 84043, ortsmitte-grossolbersdorf - ortsmitte-grossolbersdorf
66323 - 83932, ortsmitte-lauta - ortsmitte-lauta
66324 - 83881, ortsmitte-marienberg - ortsmitte-marienberg
66326 - 83963, ortsmitte-pobershau - ortsmitte-pobershau
66328 - 84046, ortsmitte-streckewalde - ortsmitte-streckewalde
66329 - 81133, ortsmitte-wiesenbad - ortsmitte-wiesenbad
66330 - 83943, ortsmitte-wolkenstein - ortsmitte-wolkenstein
66334 - 81894, ortsmitte4 - ortsmitte
66335 - 81685, ortsmitte5 - ortsmitte
66346 - 83516, peugenhammer - peugenhammer
66367 - 82515, plossberg - plossberg
66373 - 81885, profen-nord - profen-nord
66374 - 81886, profen-sud - profen-sud
66376 - 79740, pucherschacht - pucherschacht
66377 - 84834, quarzgange - quarzgange
66379 - 79931, quarzitbruch-bei-hemsbach - quarzitbruch-bei-hemsbach
66395 - 79913, reiche-zeche - reiche-zeche
66396 - 82038, reichstadt - reichstadt
66427 - 81246, rhasa - rhasa
